l_code,l_name,year,day,rm
401,稚内,1953,530,6
401,稚内,1954,527,6
401,稚内,1955,523,6
401,稚内,1956,514,6
401,稚内,1957,522,6
401,稚内,1958,525,6
401,稚内,1959,512,6
401,稚内,1960,524,6
401,稚内,1961,518,6
401,稚内,1962,517,6
401,稚内,1963,515,6
401,稚内,1964,-,-
401,稚内,1965,522,6
401,稚内,1966,-,-
401,稚内,1967,-,-
401,稚内,1968,-,-
401,稚内,1969,-,-
401,稚内,1970,-,-
401,稚内,1971,-,-
401,稚内,1972,-,-
401,稚内,1973,-,-
401,稚内,1974,522,6
401,稚内,1975,522,6
406,留萌,1953,513,6
406,留萌,1954,517,6
406,留萌,1955,516,6
406,留萌,1956,514,6
406,留萌,1957,514,6
406,留萌,1958,516,6
406,留萌,1959,-,-
406,留萌,1960,-,-
406,留萌,1961,513,6
406,留萌,1962,516,6
406,留萌,1963,517,6
406,留萌,1964,511,6
406,留萌,1965,523,6
406,留萌,1966,520,6
406,留萌,1967,519,6
406,留萌,1968,511,6
406,留萌,1969,518,6
406,留萌,1970,511,6
406,留萌,1971,521,6
406,留萌,1972,-,-
406,留萌,1973,518,6
406,留萌,1974,518,6
406,留萌,1975,512,6
407,旭川,1953,516,6
407,旭川,1954,518,6
407,旭川,1955,514,6
407,旭川,1956,513,6
407,旭川,1957,514,6
407,旭川,1958,515,6
407,旭川,1959,513,6
407,旭川,1960,516,6
407,旭川,1961,512,6
407,旭川,1962,511,6
407,旭川,1963,513,6
407,旭川,1964,516,6
407,旭川,1965,519,6
407,旭川,1966,518,6
407,旭川,1967,508,6
407,旭川,1968,505,6
407,旭川,1969,509,6
407,旭川,1970,510,6
407,旭川,1971,515,6
407,旭川,1972,504,6
407,旭川,1973,511,6
407,旭川,1974,515,6
407,旭川,1975,512,6
409,網走,1953,526,6
409,網走,1954,519,6
409,網走,1955,520,6
409,網走,1956,513,6
409,網走,1957,-,-
409,網走,1958,-,-
409,網走,1959,507,6
409,網走,1960,-,-
409,網走,1961,-,-
409,網走,1962,-,-
409,網走,1963,-,-
409,網走,1964,-,-
409,網走,1965,-,-
409,網走,1966,521,6
409,網走,1967,-,-
409,網走,1968,510,6
409,網走,1969,513,6
409,網走,1970,510,6
409,網走,1971,520,6
409,網走,1972,506,6
409,網走,1973,513,6
409,網走,1974,518,6
409,網走,1975,517,6
412,札幌,1953,514,8
412,札幌,1954,508,8
412,札幌,1955,516,8
412,札幌,1956,509,8
412,札幌,1957,513,8
412,札幌,1958,-,-
412,札幌,1959,510,8
