2016 rm 2017 rm 2018 rm 平年値 rm 最早値 rm 最早年 最晩値 rm 最晩年
515 7 511 7 515 7 517 6 502 6 2002 530 6 1953
 - - - - - - - - 501 6 2008 523 6 2005
504 7 505 7 501 7 507 6 425 6 2002 520 6 2013
510 7 507 7 506 7 514 6 501 6 2002 527 6 2013
501 8 503 8 429 8 507 8 425 8 2008 521 8 1984
 - - - - - - - - 425 6 2002 520 6 1984
503 6 502 6 428 6 507 6 426 6 1998 521 6 1984
513 7 518 7 514 7 520 6 508 6 2015 604 6 1984
 - - - - - - - - 513 6 2002 608 6 1960
502 9 504 9 501 9 511 8 428 8 2002 530 8 1984
 - - - - - - - - 502 6 2002 529 6 1984
 - - - - - - - - 421 8 2002 521 8 1984
426 9 430 9 428 9 504 8 421 8 2002 527 8 1984
 - - - - - - - - 428 8 2002 523 8 1996
 - - - - - - - - 430 6 2002 529 6 1996
 - - - - - - - - 430 6 1998 531 6 1984
 - - - - - - - - 417 8 1990 511 8 1984
421 8 421 8 422 8 429 8 416 8 2002 518 8 1984
 - - - - - - - - 416 8 2002 523 8 1984
419 8 419 8 420 8 422 8 412 8 2002 508 8 1965
418 9 424 9 420 9 425 8 416 8 2015 509 8 1984
 - - - - - - - - 413 8 2002 519 8 1984
 - - - - - - - - 408 8 2002 502 8 1965
410 8 417 8 411 8 419 8 406 8 2002 504 8 1984
406 8 413 8 404 8 416 8 403 8 2002 503 8 1984
403 9 412 9 402 9 413 8 402 8 2018 428 8 1984
 - - - - - - - - 410 8 1990 502 8 1984
 - - - - - - - - 401 8 2002 429 8 1984
 - - - - - - - - 402 8 2002 428 8 1984
 - - - - - - - - 408 8 2002 430 8 1984
407 9 413 9 405 9 414 8 404 8 2002 429 8 1984
404 8 408 8 403 8 410 8 401 8 2004 420 8 1984
401 8 408 8 330 8 410 8 330 8 2018 424 8 1984
408 8 417 8 406 8 417 8 405 8 2002 503 8 1965
 - - - - - - - - 403 8 2002 430 8 1984
404 8 409 8 329 8 408 8 325 8 2002 424 8 1984
331 8 407 8 402 8 409 8 331 8 2016 421 8 1984
 - - - - - - - - 409 8 2002 502 8 1984
 - - - - - - - - 403 8 2002 501 8 1965
401 8 407 8 328 8 406 8 328 8 2018 421 8 1984
401 9 407 9 326 9 405 8 322 8 2002 420 8 1984
406 9 410 9 328 9 408 8 328 8 2018 427 8 1984
 - - - - - - - - 330 8 1990 419 8 1965
331 9 404 9 326 9 404 8 326 8 2018 416 8 1984
331 8 406 8 327 8 403 8 327 8 2018 416 8 1965
 - - - - - - - - 331 8 1959 422 8 1970
403 8 409 8 329 8 403 8 322 8 2002 416 8 1984
406 9 410 9 328 9 408 8 328 8 2018 423 8 1984
402 9 405 9 329 9 405 8 327 8 2002 418 8 1984
 - - - - - - - - 326 8 2002 413 8 1965
405 8 412 8 327 8 403 8 322 8 2002 412 8 2017
