1996 rm 1997 rm 1998 rm 1999 rm 2000 rm 2001 rm 2002 rm 2003 rm 2004 rm 2005 rm 2006 rm 2007 rm 2008 rm 2009 rm 2010 rm 2011 rm 2012 rm 2013 rm 2014 rm 2015 rm
407 9 330 9 331 9 402 9 406 9 328 9 321 9 401 9 329 9 406 9 328 9 329 9 327 9 402 9 401 9 406 9 406 9 322 9 330 9 329 9
403 9 404 9 331 9 401 9 407 9 404 9 327 9 330 9 403 9 408 9 330 9 330 9 - - - - - - - - - - - - - - - -
404 9 331 9 404 9 402 9 407 9 329 9 322 9 401 9 330 9 407 9 328 9 330 9 329 9 404 9 402 9 408 9 409 9 322 9 331 8 331 8
405 8 407 8 406 8 410 8 410 8 403 8 327 8 403 8 405 8 408 8 329 8 - - - - - - - - - - - - - - - - - -
406 9 401 9 331 9 402 9 409 9 329 9 323 9 331 9 401 9 407 9 328 9 331 9 331 9 404 9 - - - - - - - - - - - -
405 9 331 9 406 9 328 9 408 9 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
329 9 405 9 410 9 406 9 413 9 406 9 406 9 404 9 401 9 418 9 403 9 - -407 9 418 9 - - - - - - - - - - - -
419 8 408 8 405 8 409 8 412 8 408 8 401 8 409 8 402 8 412 8 409 8 410 8 408 8 - - - - - - - - - - - - - -
414 8 404 8 404 8 406 8 408 8 406 8 330 8 406 8 331 8 408 8 406 8 403 8 406 8 406 8 403 8 412 8 410 8 331 8 402 8 402 8
411 8 404 8 331 8 403 8 408 8 401 8 328 8 406 8 329 8 408 8 407 8 403 8 405 8 - - - - - - - - - - - - - -
414 9 404 9 331 9 401 9 409 9 403 9 330 9 407 9 329 9 408 9 407 9 408 9 404 9 407 9 404 9 408 9 410 9 329 9 402 9 401 9
415 8 409 8 403 8 406 8 412 8 404 8 331 8 408 8 331 8 409 8 409 8 403 8 - - - - - - - - - - - - - - - -
415 9 408 9 331 9 404 9 412 9 405 8 331 8 409 8 331 8 410 8 410 8 409 8 407 8 406 8 406 8 410 8 412 8 - - - - - -
407 9 407 9 330 9 403 9 404 9 403 8 326 8 403 8 403 8 407 8 404 8 401 8 - - - - - - - - - - - - - - - -
409 8 404 8 401 8 402 8 410 8 403 8 328 8 404 8 403 8 408 8 406 8 403 8 401 8 405 8 401 8 407 8 409 9 330 9 402 9 401 9
417 8 406 8 405 8 408 8 414 8 408 8 402 8 406 8 402 8 410 8 412 8 411 8 406 8 408 8 407 8 411 8 412 8 405 8 409 8 404 8
407 8 401 8 405 8 406 8 405 8 404 8 328 8 401 8 402 8 408 8 407 8 402 8 404 8 401 8 401 8 407 8 406 8 328 8 330 8 401 8
408 9 401 9 329 9 404 9 404 9 401 9 327 9 401 9 331 9 409 9 406 9 402 9 402 9 405 9 402 9 410 9 409 9 329 9 330 9 330 9
410 9 404 9 401 9 403 9 408 9 406 9 329 9 405 9 402 9 409 9 407 9 404 9 404 9 405 9 403 9 407 9 409 9 331 9 402 9 402 9
408 8 402 8 331 8 402 8 408 9 402 9 330 9 402 9 406 9 409 9 408 9 408 9 403 9 406 9 404 9 410 9 409 9 331 9 401 9 402 9
409 9 404 9 403 9 329 9 408 9 404 9 328 9 402 9 402 9 408 9 404 9 403 9 402 9 406 9 404 9 407 9 409 9 329 9 402 9 401 9
410 8 406 8 330 8 406 8 409 8 403 8 328 8 - - - - - - - - - - - - - - - - - - - - - - - - - -
408 9 401 9 404 9 402 9 406 9 402 9 326 9 403 9 401 9 407 9 404 9 401 9 402 9 403 9 331 9 407 9 404 9 326 9 331 9 330 9
401 8 407 8 403 8 407 8 409 8 403 8 330 8 331 8 403 8 408 8 329 8 406 8 402 8 330 8 - - - - - - - - - - - -
408 8 403 8 331 8 402 8 410 8 404 8 326 8 404 8 330 8 407 8 405 8 404 8 403 8 406 8 402 8 408 8 409 8 329 8 401 8 331 8
407 9 328 9 402 9 403 9 402 9 403 9 324 9 330 9 402 9 407 9 330 9 402 8 402 8 326 8 - - - - - - - - - - - -
401 8 328 8 403 8 401 8 402 8 401 8 325 8 328 8 330 8 406 8 403 8 331 8 402 8 323 8 325 8 402 8 401 8 322 8 327 8 329 8
405 9 331 9 331 9 401 9 403 9 404 8 327 8 330 8 331 8 407 8 403 8 331 8 402 8 329 8 402 8 405 8 403 8 325 8 326 8 331 8
407 8 401 8 402 8 408 8 403 8 404 8 328 8 402 8 403 8 408 8 403 8 404 8 404 8 328 8 329 8 405 8 403 8 325 8 330 8 403 8
406 8 329 8 404 8 404 8 402 8 401 8 329 8 329 8 402 8 408 8 403 8 401 8 406 8 327 8 331 8 407 8 402 8 323 8 327 8 331 8
331 8 327 8 401 8 403 8 403 8 403 8 329 8 331 8 402 8 408 8 331 8 402 8 401 8 324 8 326 8 407 9 402 9 322 9 327 9 331 9
 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
331 8 330 8 409 8 406 8 406 8 405 8 401 8 402 8 406 8 409 8 329 8 404 8 412 8 401 8 406 8 405 8 405 8 326 8 331 8 331 8
403 8 331 8 401 8 405 8 405 8 402 9 329 9 330 9 402 9 405 9 330 9 403 9 406 9 323 9 402 9 404 9 403 9 322 9 328 9 401 9
 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
328 9 330 9 - - - -412 9 423 9 - -403 9 331 9 409 9 331 9 425 9 - - - - - - - - - - - - - - - -
405 8 330 8 403 8 405 8 403 8 403 8 330 8 331 8 403 9 408 9 403 9 409 8 408 8 401 8 - - - - - - - - - - - -
408 9 401 9 405 9 402 9 404 9 330 9 326 9 402 9 402 9 407 9 403 9 401 9 404 9 401 9 402 9 406 9 404 9 327 9 329 9 401 9
410 9 404 9 402 9 404 9 406 9 331 9 323 9 404 9 403 9 406 9 406 9 404 9 403 9 403 9 404 9 408 9 406 9 330 9 331 9 401 9
401 9 329 9 403 9 401 9 404 9 328 9 323 9 328 9 401 9 405 9 - - - - - - - - - - - - - - - - - - - -
402 9 326 9 331 9 401 9 403 9 330 9 323 9 325 9 331 9 406 9 324 9 401 9 328 9 324 9 321 9 331 9 327 9 322 9 325 9 330 9
406 8 402 8 403 8 402 8 407 8 403 8 327 8 403 8 403 8 406 8 404 8 403 8 403 8 403 8 406 8 408 8 405 8 330 8 401 8 403 8
122 6 127 6 127 6 204 6 131 6 205 6 129 6 126 6 201 6 208 6 124 6 207 6 202 6 204 6 203 6 207 6 130 6 128 6 131 6 129 6
217 7 212 7 301 7 303 7 206 7 221 7 214 7 210 7 211 7 215 7 131 7 216 7 - - - - - - - - - - - - - - - -
128 7 204 7 215 7 303 7 208 7 215 7 207 7 - - - - - - - - - - - - - - - - - - - - - - - - - -
123 6 206 6 301 6 224 6 203 6 208 6 201 6 220 6 202 6 207 6 202 6 227 7 220 7 216 7 208 7 210 7 209 7 214 7 210 7 124 7
125 7 127 7 201 7 219 7 123 7 209 7 204 7 203 7 301 7 216 7 131 7 219 7 221 7 207 7 131 7 128 7 130 7 201 7 203 7 204 7
128 7 201 7 209 7 208 7 124 7 125 7 128 7 209 7 201 7 - - - - - - - - - - - - - - - - - - - - - -
202 7 201 7 128 7 215 7 203 7 205 7 205 7 207 7 210 7 214 7 124 7 216 7 125 7 123 7 201 7 202 7 206 7 123 7 127 7 129 7
124 7 129 7 212 7 201 7 126 7 202 7 131 7 - - - - - - - - - - - - - - - - - - - - - - - - - -
203 7 220 7 - -212 7 127 7 129 7 129 7 205 7 207 7 218 7 127 7 214 7 204 7 209 7 215 7 204 7 201 7 121 7 122 7 213 7
