1996 rm 1997 rm 1998 rm 1999 rm 2000 rm 2001 rm 2002 rm 2003 rm 2004 rm 2005 rm 2006 rm 2007 rm 2008 rm 2009 rm 2010 rm 2011 rm 2012 rm 2013 rm 2014 rm 2015 rm
331 9 321 9 327 9 324 9 330 9 323 9 316 9 327 9 318 9 331 9 321 9 320 9 322 9 321 9 322 9 328 9 331 9 316 9 325 9 323 9
327 9 327 9 326 9 322 9 331 9 326 9 320 9 322 9 328 9 402 9 323 9 323 9 - - - - - - - - - - - - - - - -
329 9 325 9 328 9 324 9 329 9 322 9 315 9 327 9 318 9 402 9 321 9 323 9 323 9 322 9 322 9 330 9 402 9 318 9 325 8 323 8
330 8 330 8 331 8 330 8 404 8 325 8 319 8 327 8 330 8 403 8 321 8 - - - - - - - - - - - - - - - - - -
328 9 327 9 328 9 322 9 402 9 324 9 317 9 325 9 325 9 329 9 320 9 326 9 324 9 326 9 - - - - - - - - - - - -
328 9 324 9 328 9 321 9 404 9 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
323 9 330 9 401 9 326 9 406 9 329 9 328 9 328 9 326 9 408 9 319 9 413 9 330 9 404 9 - - - - - - - - - - - -
413 8 331 8 330 8 403 8 407 8 402 8 325 8 403 8 328 8 407 8 404 8 328 8 403 8 - - - - - - - - - - - - - -
406 8 328 8 326 8 329 8 402 8 326 8 322 8 331 8 321 8 405 8 328 8 326 8 401 8 322 8 322 8 406 8 406 8 323 8 327 8 329 8
406 8 328 8 327 8 327 8 403 8 325 8 320 8 330 8 321 8 404 8 401 8 325 8 331 8 - - - - - - - - - - - - - -
406 9 328 9 326 9 326 9 405 9 326 9 322 9 331 9 324 9 405 9 401 9 325 9 329 9 322 9 325 9 402 9 403 9 320 9 327 9 328 9
409 8 401 8 328 8 329 8 408 8 328 8 326 8 403 8 328 8 407 8 404 8 326 8 - - - - - - - - - - - - - - - -
409 9 402 9 328 9 331 9 410 9 329 8 325 8 403 8 327 8 407 8 405 8 331 8 402 8 325 8 327 8 405 8 409 8 325 8 - - - -
330 9 327 9 323 9 328 9 330 9 324 8 317 8 329 8 321 8 401 8 326 8 325 8 - - - - - - - - - - - - - - - -
331 8 326 8 324 8 325 8 403 8 324 8 318 8 328 8 324 8 402 8 327 8 325 8 324 8 319 8 319 8 328 8 403 9 322 9 327 9 327 9
408 8 330 8 329 8 329 8 409 8 401 8 326 8 331 8 328 8 406 8 406 8 330 8 330 8 328 8 401 8 401 8 408 8 330 8 402 8 331 8
331 8 325 8 326 8 329 8 328 8 326 8 319 8 325 8 323 8 331 8 325 8 323 8 326 8 318 8 320 8 330 8 330 8 319 8 325 8 325 8
401 9 322 9 320 9 327 9 328 9 323 9 320 9 325 9 319 9 403 9 322 9 322 9 325 9 322 9 320 9 401 9 402 9 322 9 325 9 324 9
403 9 328 9 327 9 327 9 401 9 326 9 320 9 329 9 325 9 403 9 329 9 326 9 326 9 321 9 322 9 331 9 403 9 324 9 328 9 328 9
331 8 326 8 324 8 325 8 402 9 325 9 322 9 328 9 326 9 403 9 327 9 330 9 326 9 323 9 320 9 331 9 402 9 321 9 327 9 327 9
331 9 327 9 325 9 324 9 402 9 325 9 320 9 327 9 323 9 403 9 328 9 327 9 326 9 324 9 321 9 331 9 402 9 321 9 327 9 326 9
402 8 329 8 324 8 330 8 402 8 326 8 320 8 - - - - - - - - - - - - - - - - - - - - - - - - - -
329 9 318 9 324 9 324 9 328 9 323 9 316 9 326 9 319 9 329 9 325 9 326 9 324 9 321 9 318 9 327 9 330 9 318 9 326 9 323 9
328 8 323 8 326 8 321 8 331 8 327 8 320 8 319 8 326 8 401 8 319 8 328 8 324 8 322 8 - - - - - - - - - - - -
401 8 328 8 326 8 326 8 405 8 326 8 320 8 330 8 325 8 402 8 329 8 327 8 326 8 323 8 320 8 331 8 403 8 322 8 327 8 327 8
331 9 321 9 321 9 326 9 327 9 324 9 317 9 323 9 322 9 401 9 323 9 326 8 327 8 318 8 - - - - - - - - - - - -
323 8 318 8 319 8 321 8 325 8 322 8 315 8 322 8 317 8 329 8 323 8 321 8 324 8 313 8 314 8 322 8 327 8 313 8 319 8 322 8
325 9 318 9 318 9 321 9 327 9 324 8 317 8 321 8 323 8 331 8 323 8 324 8 324 8 319 8 321 8 322 8 328 8 318 8 319 8 322 8
326 8 320 8 319 8 326 8 326 8 323 8 317 8 324 8 319 8 331 8 323 8 322 8 324 8 317 8 317 8 323 8 327 8 314 8 325 8 326 8
323 8 318 8 324 8 322 8 326 8 322 8 319 8 319 8 323 8 401 8 322 8 324 8 324 8 321 8 318 8 323 8 326 8 316 8 320 8 322 8
322 8 315 8 317 8 322 8 324 8 323 8 316 8 320 8 324 8 401 8 320 8 323 8 322 8 316 8 316 8 321 9 325 9 316 9 320 9 321 9
 - -318 8 326 8 320 8 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
325 8 321 8 328 8 326 8 330 8 330 8 327 8 324 8 329 8 403 8 320 8 330 8 328 8 319 8 323 8 323 8 326 8 315 8 320 8 321 8
322 8 317 8 323 8 325 8 328 8 322 9 318 9 323 9 326 9 328 9 318 9 326 9 326 9 316 9 317 9 323 9 324 9 313 9 319 9 322 9
 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
322 9 323 9 403 9 402 9 330 9 328 9 327 9 320 9 321 9 331 9 320 9 401 9 - - - - - - - - - - - - - - - -
326 8 320 8 326 8 326 8 328 8 324 8 323 8 322 8 326 9 331 9 322 9 328 8 331 8 323 8 - - - - - - - - - - - -
329 9 324 9 321 9 325 9 328 9 324 9 318 9 326 9 319 9 401 9 324 9 323 9 325 9 317 9 314 9 325 9 330 9 317 9 324 9 327 9
402 9 328 9 325 9 327 9 331 9 326 9 318 9 328 9 324 9 401 9 327 9 328 9 325 9 320 9 320 9 331 9 402 9 322 9 326 9 324 9
324 9 317 9 318 9 319 9 325 9 321 9 315 9 320 9 317 9 328 9 - - - - - - - - - - - - - - - - - - - -
