2016 rm 2017 rm 2018 rm 平年値 rm 最早値 rm 最早年 最晩値 rm 最晩年
321 9 321 9 317 9 326 8 316 8 2013 411 8 1984
 - - - - - - - - 317 8 1989 407 8 1965
323 8 325 8 319 8 326 8 315 8 2002 410 8 1984
 - - - - - - - - 319 8 2002 409 8 1984
 - - - - - - - - 317 8 2002 407 8 1984
 - - - - - - - - 316 8 1989 405 8 1995
 - - - - - - - - 319 8 2006 423 8 1969
 - - - - - - - - 325 8 2002 417 8 1984
323 8 401 8 326 8 331 8 321 8 2004 413 8 1984
 - - - - - - - - 320 8 2002 414 8 1984
323 9 402 9 324 9 331 8 320 8 2013 413 8 1984
 - - - - - - - - 325 8 1959 416 8 1984
 - - - - - - 403 8 325 8 2013 416 8 1984
 - - - - - - - - 317 8 2002 409 8 1984
323 9 331 9 322 9 328 8 318 8 2002 409 8 1984
330 8 405 8 327 8 402 8 323 8 1990 415 8 1984
328 8 329 8 323 8 327 8 318 8 2009 406 8 1984
323 9 327 9 322 9 327 8 319 8 2004 408 8 1984
326 9 401 9 325 9 329 8 320 8 2002 410 8 1984
326 9 403 9 323 9 328 8 320 8 2010 410 8 1984
323 9 330 9 320 9 328 8 320 8 2018 410 8 1984
 - - - - - - - - 319 8 1989 410 8 1984
322 9 330 9 320 9 326 8 316 8 2002 406 8 1984
 - - - - - - - - 310 8 1959 406 8 1965
323 8 403 9 324 9 329 8 320 8 2010 412 8 1984
 - - - - - - - - 317 8 2002 406 8 1956
319 8 325 8 319 8 323 8 313 8 2013 406 8 1962
323 8 330 8 320 8 324 8 317 8 2002 402 8 1988
328 8 404 8 323 8 324 8 314 8 2013 406 8 1957
322 8 330 8 317 8 324 8 315 8 1990 401 8 2005
322 9 401 9 317 9 323 8 315 8 1997 402 8 1962
 - - - - - - - - 316 8 1989 402 8 1988
327 8 405 8 317 8 326 8 315 8 2013 405 8 2017
324 9 402 9 316 9 324 8 313 8 2013 402 8 2017
 - - - - - - - - 325 8 1991 325 8 1991
 - - - - - - - - 310 8 1973 418 8 1979
 - - - - - - - - 319 8 1990 404 8 1970
323 9 330 9 319 9 325 8 314 8 2010 406 8 1957
326 9 402 9 324 9 328 8 318 8 2002 408 8 1984
 - - - - - - - - 315 8 2002 402 8 1988
324 9 329 9 315 9 322 8 310 8 2010 402 8 1957
330 8 403 8 323 8 328 8 318 8 1966 406 8 1984
118 6 131 6 122 6 119 6 101 6 2003 131 6 2017
 - - - - - - - - 118 6 1996 222 6 1995
 - - - - - - - -1221 6 1974 208 6 1960
212 7 125 6 119 6 116 6 1219 6 1968 220 6 1964
204 7 130 7 123 7 116 6 1230 6 2002 205 6 1973
 - - - - - - - -1231 6 1989 215 6 1963
121 7 114 7 110 7 118 6 1228 6 2012 208 6 1995
 - - - - - - - -1219 6 1972 122 6 1985
209 7 127 7 107 7 120 6 104 6 2002 209 6 2016
