1976 rm 1977 rm 1978 rm 1979 rm 1980 rm 1981 rm 1982 rm 1983 rm 1984 rm 1985 rm 1986 rm 1987 rm 1988 rm 1989 rm 1990 rm 1991 rm 1992 rm 1993 rm 1994 rm 1995 rm
520 6 521 6 516 6 521 6 525 6 511 6 516 6 506 6 524 6 513 6 513 7 516 7 515 7 516 7 506 7 514 7 517 7 515 7 516 7 508 7
514 6 514 6 512 6 517 6 520 6 509 6 510 6 430 6 522 6 511 6 509 7 509 7 509 7 503 7 426 7 507 7 512 7 512 7 514 7 505 7
511 6 513 6 508 6 512 6 516 6 505 6 505 6 427 6 514 6 503 6 506 6 509 6 507 6 503 6 428 6 505 6 509 6 508 6 511 6 502 6
513 6 513 6 510 6 524 6 521 6 514 6 511 6 503 6 524 6 510 6 508 7 509 7 512 7 516 7 507 7 508 7 513 7 520 7 513 7 508 7
507 8 511 8 510 8 509 8 514 8 505 8 504 8 428 8 512 8 503 8 505 9 506 9 503 9 429 9 425 9 502 9 504 9 506 9 506 9 501 9
509 8 512 8 510 8 510 8 515 8 507 6 505 6 427 6 517 6 504 6 505 7 508 7 505 7 428 7 426 7 504 7 509 7 507 7 508 7 503 7
509 6 511 6 511 6 511 6 514 6 504 6 506 6 501 6 519 6 503 6 506 6 504 6 504 6 505 6 501 6 504 6 506 6 508 6 506 6 504 6
515 6 524 6 525 6 528 6 524 6 522 6 517 6 512 6 530 6 518 6 516 7 517 7 518 7 518 7 510 7 511 7 517 7 516 7 513 7 514 7
517 6 527 6 517 6 528 6 525 6 524 6 519 6 515 6 530 6 519 6 519 6 515 6 522 6 520 6 511 6 513 6 524 7 - -519 6 518 6
510 8 512 8 512 8 512 8 515 8 506 8 510 8 429 8 525 8 510 8 508 9 509 9 506 9 430 9 426 9 502 9 506 9 504 9 506 9 505 9
515 6 514 6 516 6 518 6 519 6 512 6 513 6 505 6 525 6 512 6 510 7 512 7 512 7 508 7 506 7 507 7 512 7 512 7 513 7 509 7
505 8 508 8 508 8 504 8 512 8 503 8 502 8 426 8 519 8 504 8 506 9 505 9 504 9 423 9 423 9 430 9 428 9 501 9 - -429 9
509 8 508 8 508 8 507 8 512 8 503 8 507 8 427 8 523 8 504 8 505 9 504 9 502 9 423 9 422 9 428 9 428 9 427 9 430 9 430 9
516 6 514 6 514 6 517 6 519 6 510 6 511 6 501 6 522 6 511 6 511 7 513 7 514 7 505 7 506 7 509 7 510 7 512 7 514 7 508 8
510 6 512 6 508 6 521 6 520 6 511 6 512 6 501 6 525 6 510 6 506 7 506 7 511 7 515 7 506 7 507 7 511 7 517 7 511 7 507 7
508 6 511 6 510 6 521 6 517 6 507 6 509 6 501 6 528 6 510 6 509 7 505 7 507 7 507 7 503 7 504 7 510 7 513 7 508 7 505 7
425 8 426 8 428 8 422 8 429 8 427 8 423 8 418 8 506 8 425 8 426 9 421 9 426 9 414 9 413 9 417 9 419 9 421 9 420 9 420 9
425 8 502 8 501 8 430 8 504 8 427 8 427 8 421 8 511 8 429 8 501 9 425 9 428 9 415 9 415 9 424 9 422 9 423 9 422 9 424 9
425 8 428 8 428 8 501 8 429 8 425 8 426 8 420 8 518 8 427 8 429 8 423 8 427 8 415 8 412 8 419 8 421 8 421 8 423 9 423 9
423 8 422 8 426 8 418 8 423 8 422 8 420 8 415 8 430 8 419 8 420 8 417 8 423 8 410 8 410 9 416 9 417 9 419 9 419 9 418 9
426 8 426 8 429 8 424 8 428 8 424 8 423 8 418 8 506 8 425 8 429 8 423 8 427 8 414 8 413 8 417 8 421 8 423 8 421 8 424 8
421 8 423 8 426 8 419 8 422 8 423 8 417 8 416 8 507 8 421 8 422 8 418 8 420 8 413 8 411 8 417 8 421 8 420 8 417 8 422 8
419 8 416 8 421 8 411 8 419 8 417 8 414 8 414 8 427 8 415 8 420 9 415 9 420 9 406 9 407 9 413 9 410 9 416 9 415 9 415 9
418 8 415 8 423 8 412 8 421 8 421 8 416 8 414 8 429 8 419 8 420 8 415 8 420 8 407 8 409 8 412 8 412 8 416 8 415 8 417 8
414 8 414 8 421 8 409 8 414 8 413 8 411 8 413 8 428 8 417 8 419 8 410 8 417 8 403 8 403 8 411 8 406 8 409 8 411 8 411 8
413 8 412 8 417 8 408 8 413 8 412 8 408 8 410 8 425 8 414 8 417 9 406 9 416 9 401 9 403 9 409 9 405 9 412 9 408 9 409 9
415 8 414 8 422 8 408 8 420 8 416 8 414 8 414 8 428 8 417 8 422 9 410 9 420 9 409 9 408 9 412 9 410 9 416 9 414 9 418 9
405 8 410 8 416 8 331 8 414 8 411 8 406 8 411 8 425 8 411 8 417 9 405 9 413 9 330 9 330 9 409 9 402 9 408 9 407 9 406 8
414 8 410 8 416 8 407 8 412 8 410 8 407 8 411 8 424 8 413 8 414 9 407 9 415 9 401 9 402 9 411 9 405 9 408 9 412 9 410 9
414 8 413 8 417 8 407 8 414 8 412 8 412 8 412 8 427 8 413 8 419 8 410 8 420 8 407 8 404 8 413 8 408 8 414 8 413 8 414 8
414 8 414 8 417 8 408 8 416 8 413 8 409 8 412 8 426 8 410 8 417 8 408 8 416 8 401 8 401 8 411 8 405 8 409 8 411 8 409 8
404 8 406 8 411 8 330 8 406 8 408 8 402 8 408 8 417 8 407 8 410 8 330 8 412 8 326 8 328 8 407 8 402 9 402 9 411 9 408 9
408 8 411 8 415 8 403 8 409 8 410 8 402 8 409 8 420 8 410 8 411 8 405 8 414 8 329 8 401 8 410 8 404 8 411 8 411 8 407 8
